experiment,item,condition,sentence,prompt,question_type,literal_response
lexical,1,word,table,Definitely Nonword_Definitely Word,likert5,NA
lexical,1,nonword,tabol,Definitely Nonword_Definitely Word,likert5,NA
lexical,2,word,chair,Definitely Nonword_Definitely Word,likert5,NA
lexical,2,nonword,cheh,Definitely Nonword_Definitely Word,likert5,NA
lexical,3,word,mask,Definitely Nonword_Definitely Word,likert5,NA
lexical,3,nonword,mesque,Definitely Nonword_Definitely Word,likert5,NA
lexical,4,word,sliver,Definitely Nonword_Definitely Word,likert5,NA
lexical,4,nonword,cliver,Definitely Nonword_Definitely Word,likert5,NA
dopo,1,DO_plausible,The sister mailed the niece the letter.,Did the niece receive something/someone?,binary,Yes
dopo,1,DO_implausible,The sister mailed the letter the niece.,Did the niece receive something/someone?,binary,No
dopo,1,PO_plausible,The sister mailed the letter to the niece.,Did the niece receive something/someone?,binary,Yes
dopo,1,PO_implausible,The sister mailed the niece to the letter.,Did the niece receive something/someone?,binary,No
dopo,2,DO_plausible,The mother gave the daughter the candle.,Did the daughter receive something/someone?,binary,Yes
dopo,2,DO_implausible,The mother gave the candle the daughter.,Did the daughter receive something/someone?,binary,No
dopo,2,PO_plausible,The mother gave the candle to the daughter.,Did the daughter receive something/someone?,binary,Yes
dopo,2,PO_implausible,The mother gave the daughter to the candle.,Did the daughter receive something/someone?,binary,No
dopo,3,DO_plausible,The uncle sold the father the truck.,Did the father receive something/someone?,binary,Yes
dopo,3,DO_implausible,The uncle sold the truck the father.,Did the father receive something/someone?,binary,No
dopo,3,PO_plausible,The uncle sold the truck to the father.,Did the father receive something/someone?,binary,Yes
dopo,3,PO_implausible,The uncle sold the father to the truck.,Did the father receive something/someone?,binary,No
dopo,4,DO_plausible,The contractor lent the homeowner the saw.,Did the homeowner receive something/someone?,binary,Yes
dopo,4,DO_implausible,The contractor lent the saw the homeowner.,Did the homeowner receive something/someone?,binary,No
dopo,4,PO_plausible,The contractor lent the saw to the homeowner.,Did the homeowner receive something/someone?,binary,Yes
dopo,4,PO_implausible,The contractor lent the homeowner to the saw.,Did the homeowner receive something/someone?,binary,No
cloze,1,low-const,Dad went to the store to buy a/an ____,Complete the sentence:,completion,NA
cloze,1,high-const,Dad went to the bakery to buy a/an ____,Complete the sentence:,completion,NA
cloze,2,low-const,"Omnivore animals would mostly eat any kind of food, for example, ____",Complete the sentence:,completion,NA
cloze,2,high-const,"Lettuce-eating animals would mostly eat one kind of food, for example, ____",Complete the sentence:,completion,NA
cloze,3,low-const,Can I please have my dish with a side of ____,Complete the sentence:,completion,NA
cloze,3,high-const,Can I please have my burger with a side of ____,Complete the sentence:,completion,NA
cloze,4,low-const,The socks did not match the ____,Complete the sentence:,completion,NA
cloze,4,high-const,The garment did not match the ____,Complete the sentence:,completion,NA
